subject_id,subject_language,18-29yrs,30-39yrs,40-49yrs,50-59yrs,60-69yrs,more_than_69yrs,handedness_L,handedness_R,french_native,french_non_native,lang_other_target_no,lang_other_target_yes,other_lang_na,other_lang_na2,other_lang_native,other_lang_bcpdexp,other_lang_assezdexp,other_lang_unpeudexp,other_lang_trespeudexp,other_lang_comp_na,other_lang_comp_na2,other_lang_comp_native,other_lang_presque_native,other_lang_avancee,other_lang_intermediare,other_lang_debutant,hear_vis_problems_yes,hear_vis_problems_no,troubles_de_lang_yes,troubles_de_lang_no,ling_course_yes,ling_course_no,phonet_course_yes,phonet_course_no,phonog_course_yes,phonog_course_no
X_ZKIPQUTLHW,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_BTHIMYPXNE,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_IPLHWRAJTQ,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_CSXUFHEMAN,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_OUVICNRKGB,eng,0,0,0,1,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_VPYJRCZIFO,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_VBJCRILGYA,eng,0,1,0,0,0,0,1,0,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_RBXSFTMCLG,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_FXGYWRSIDK,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_RXBKDLHZOY,eng,0,1,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_QAVXBMOFTN,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_ZUEATMWBPC,eng,1,0,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
X_COGKIVQHTD,eng,1,0,0,0,0,0,1,0,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_WYDQRUMOGX,eng,0,1,0,0,0,0,0,1,,,0.0,1,0,,0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
X_GPWZYBMCIA,eng,1,0,0,0,0,0,0,1,,,1.0,0,1,,0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
